5,1,1838203819238571,80.0,1,10,09/12/2014
5,1,1838203819238571,80.0,2,10,08/01/2015
5,1,1838203819238571,80.0,3,10,07/02/2015
5,1,1838203819238571,80.0,4,10,09/03/2015
5,1,1838203819238571,80.0,5,10,08/04/2015
5,1,1838203819238571,80.0,6,10,08/05/2015
5,1,1838203819238571,80.0,7,10,07/06/2015
5,1,1838203819238571,80.0,8,10,07/07/2015
5,1,1838203819238571,80.0,9,10,06/08/2015
5,1,1838203819238571,80.0,10,10,05/09/2015
4,1,1923812391031312,50.0,1,10,09/12/2014
4,1,1923812391031312,50.0,2,10,08/01/2015
4,1,1923812391031312,50.0,3,10,07/02/2015
4,1,1923812391031312,50.0,4,10,09/03/2015
4,1,1923812391031312,50.0,5,10,08/04/2015
4,1,1923812391031312,50.0,6,10,08/05/2015
4,1,1923812391031312,50.0,7,10,07/06/2015
4,1,1923812391031312,50.0,8,10,07/07/2015
4,1,1923812391031312,50.0,9,10,06/08/2015
4,1,1923812391031312,50.0,10,10,05/09/2015
3,1,1923812391031312,25.0,1,4,09/12/2014
3,1,1923812391031312,25.0,2,4,08/01/2015
3,1,1923812391031312,25.0,3,4,07/02/2015
3,1,1923812391031312,25.0,4,4,09/03/2015
2,1,5390733301817303,80.0,1,10,09/12/2014
2,1,5390733301817303,80.0,2,10,08/01/2015
2,1,5390733301817303,80.0,3,10,07/02/2015
2,1,5390733301817303,80.0,4,10,09/03/2015
2,1,5390733301817303,80.0,5,10,08/04/2015
2,1,5390733301817303,80.0,6,10,08/05/2015
2,1,5390733301817303,80.0,7,10,07/06/2015
2,1,5390733301817303,80.0,8,10,07/07/2015
2,1,5390733301817303,80.0,9,10,06/08/2015
2,1,5390733301817303,80.0,10,10,05/09/2015
1,1,5390733301817303,600.0,1,2,09/12/2014
1,1,5390733301817303,600.0,2,2,08/01/2015

